Name,Short Name,Location,Location ID,Color,Livery,Political Attributes,Team Bio,Rival,Pressure,Budget,Race Payment Offset,Marketability,Fan Base,Share of Fanbase,Driver HatStyle,Driver BodyStyle,Expectation - Constructors' ,Expectation - Driver 1,Expectation - Driver 2,Opinions - Manager,Opinions - Driver 1,Opinions - Driver 2,Team Start Description,Custom Start Description,Aggression
Lampang Endurance,Lampang,Thailand,PSG_10001058,62,86,Progressive,"Fallen Giant - A team who was once a great WMC but due to varying circumstances (Finances, staff changes, losign drivers) have fallen from the peak of competition or even down into the lower tiers.",62,2,0.2,,1,6.5,1,16,5,1,1,2,45,12,41,PSG_10012959,,0.1
Chrometac Racing Tech,Chrometac,Canada,PSG_10000914,63,43,Progressive,Strong Heritage - Private team focussed on Motorsport who have been fighting in WMC for a long time and built up good knowledge and a decent team even with financial struggles. Political view tend to swing based on current financial situation.,12,3,1.5,0.3125,3,1.3,26,10,1,2,2,7,85,62,28,PSG_1060000,Strong Heritage - Private team focussed on Motorsport who have been fighting in WMC for a long time and built up good knowledge and a decent team even with financial struggles. Political view tend to swing based on current financial situation.,0.2
Cortossi Corsa,Cortossi,Italy,PSG_10000966,64,66,Traditionalist,"Young Charger - Teams who are newer to the sport and more progressive,but look to have a strong future.",12,2,3,0.35,2,2.4,13,4,2,1,1,4,71,68,77,PSG_1060001,Young Charger - Teams who are newer to the sport and more progressive.but look to have a strong future.,0.4
CRS Formula Racing Group,CRS,France,PSG_10000944,65,59,Traditionalist,"Fallen Giant - A team who was once a great WMC but due to varying circumstances (Finances, staff changes, losign drivers) have fallen from the peak of competition or even down into the lower tiers.",14,2,4.75,0.35,3,0.6,8,14,3,3,3,6,78,74,2,PSG_1060002,Fallen Giant - A team who was once a great WMC but due to varying circumstances (Finances. staff changes. losign drivers) have fallen from the peak of competition or even down into the lower tiers.,0.8
Eclipse Formula Team,Eclipse,UnitedStates,PSG_10001070,66,67,Egalitarian,Young Team - Small teams who are very new to the sport. A small budget and a struggling team.,15,2,1.5,0.35,3,0.7,7,15,4,5,8,11,18,66,31,PSG_1060003,Young Team - Small teams who are very new to the sport. A small budget and a struggling team.,0.2
Erikson Turismo Team,Erikson,Sweden,PSG_10001053,67,20,Progressive,"Young Charger - Teams who are newer to the sport and more progressive,but look to have a strong future.",19,2,4.5,0.35,2,1.1,3,16,5,5,9,14,23,69,92,PSG_1060004,Young Charger - Teams who are newer to the sport and more progressive.but look to have a strong future.,0.4
Fong Motorsport,Fong,HongKong,PSG_10007604,68,9,Gimmicky,Young Team - Small teams who are very new to the sport. A small budget and a struggling team.,18,1,-0.75,0.35,1,1.8,2,0,6,6,10,12,68,45,52,PSG_1060005,Young Team - Small teams who are very new to the sport. A small budget and a struggling team.,0.2
Frost Racing Group,Frost,UnitedStates,PSG_10001070,69,64,Traditionalist,Young Team - Small teams who are very new to the sport. A small budget and a struggling team.,21,1,1,0.3,1,1.4,1,18,7,7,10,15,100,68,40,PSG_1060006,Young Team - Small teams who are very new to the sport. A small budget and a struggling team.,0.4
Giavollo Formula Group,Givollo,Argentina,PSG_10000889,70,34,Traditionalist,"Fallen Giant - A team who was once a great WMC but due to varying circumstances (Finances, staff changes, losign drivers) have fallen from the peak of competition or even down into the lower tiers.",24,3,4.25,0.45,3,3.2,25,19,8,1,1,2,45,12,41,PSG_1060007,Fallen Giant - A team who was once a great WMC but due to varying circumstances (Finances. staff changes. losign drivers) have fallen from the peak of competition or even down into the lower tiers.,0.8
Heurtz Engineering,Heurtz,Germany,PSG_10000948,71,47,Egalitarian,Young Team - Small teams who are very new to the sport. A small budget and a struggling team.,20,3,3.75,0.275,1,0.4,1,8,9,10,19,20,16,48,97,PSG_1060008,Young Team - Small teams who are very new to the sport. A small budget and a struggling team.,0.2
Ingressen Racing,Ingressen,France,PSG_10000944,72,32,Progressive,"Young Charger - Teams who are newer to the sport and more progressive,but look to have a strong future.",22,3,4,0.25,2,0.6,21,1,10,2,3,6,79,84,54,PSG_1060009,Young Charger - Teams who are newer to the sport and more progressive.but look to have a strong future.,0.4
Jarquois GT Racing,Jarquois,France,PSG_10000944,73,38,Progressive,"Young Charger - Teams who are newer to the sport and more progressive,but look to have a strong future.",22,2,3.5,0.225,1,0.2,16,2,0,2,2,7,21,9,54,PSG_1060010,Young Charger - Teams who are newer to the sport and more progressive.but look to have a strong future.,0.8
Johnson Racing Team,Johnson,UnitedStates,PSG_10001070,74,21,Traditionalist,"Fallen Giant - A team who was once a great WMC but due to varying circumstances (Finances, staff changes, losign drivers) have fallen from the peak of competition or even down into the lower tiers.",23,2,3,0.225,1,0.8,19,0,1,1,1,4,85,81,50,PSG_1060011,Fallen Giant - A team who was once a great WMC but due to varying circumstances (Finances. staff changes. losign drivers) have fallen from the peak of competition or even down into the lower tiers.,0.2
Kaizeki Formula Team,Kaizeki,Japan,PSG_10000969,75,1,Traditionalist,Young Team - Small teams who are very new to the sport. A small budget and a struggling team.,25,3,2.5,0.2375,2,0.9,5,4,2,3,3,6,11,97,76,PSG_1060012,Young Team - Small teams who are very new to the sport. A small budget and a struggling team.,0.4
Koryotech Grand Prix Group,Koryotech,SouthKorea,PSG_10001046,76,1,Egalitarian,Young Team - Small teams who are very new to the sport. A small budget and a struggling team.,28,3,1.75,0.2,1,0.9,9,5,3,5,8,11,82,84,57,PSG_1060013,Young Team - Small teams who are very new to the sport. A small budget and a struggling team.,0.8
Krey-Antonich Formula Racing,Krey-Antonich,UnitedStates,PSG_10001070,77,46,Progressive,"Young Charger - Teams who are newer to the sport and more progressive,but look to have a strong future.",27,2,3.5,0.225,1,0.8,1,6,4,5,9,14,67,14,36,PSG_1060014,Young Charger - Teams who are newer to the sport and more progressive.but look to have a strong future.,0.2
Largo Banco Motorsport,Largo,Spain,PSG_10001048,78,20,Gimmicky,Young Team - Small teams who are very new to the sport. A small budget and a struggling team.,28,1,0.25,0.1375,1,0.7,2,7,5,6,10,12,94,2,50,PSG_1060015,Young Team - Small teams who are very new to the sport. A small budget and a struggling team.,0.4
Lokusva Star Motorsport,Lokusva,RussianFederation,PSG_10001026,79,11,Traditionalist,"Young Charger - Teams who are newer to the sport and more progressive,but look to have a strong future.",31,1,0.5,0.1625,1,0.2,1,8,6,7,10,15,18,6,31,PSG_1060016,Young Charger - Teams who are newer to the sport and more progressive.but look to have a strong future.,0.8
Macan Motorsport Team,Mecan,Malaysia,PSG_10000989,80,28,Egalitarian,Young Team - Small teams who are very new to the sport. A small budget and a struggling team.,30,2,1,0.175,1,0.4,1,9,7,10,19,20,39,87,77,PSG_1060017,Young Team - Small teams who are very new to the sport. A small budget and a struggling team.,0.2
Makoma Racing Team,Makoma,Japan,PSG_10000969,81,4,Traditionalist,Motorsport Giants - Part of a large company and have been around a long time to build up a winning team and budget. More traditional thinking.,33,3,2.75,0.8,5,4,11,0,8,1,1,2,100,98,91,PSG_1060018,Motorsport Giants - Part of a large company and have been around a long time to build up a winning team and budget. More traditional thinking.,0.8
Mansfort Racing,Mansfort,Netherlands,PSG_10001007,82,25,Traditionalist,"Young Charger - Teams who are newer to the sport and more progressive,but look to have a strong future.",32,3,2.4,0.7,5,2.6,16,1,9,2,3,6,61,100,53,PSG_1060019,Young Charger - Teams who are newer to the sport and more progressive.but look to have a strong future.,0.5
Motsumoto Auto Racing,Motsumoto,Japan,PSG_10000969,83,43,Progressive,Strong Heritage - Private team focussed on Motorsport who have been fighting in WMC for a long time and built up good knowledge and a decent team even with financial struggles. Political view tend to swing based on current financial situation.,33,3,1.8,0.7,4,2.4,13,2,10,2,2,7,74,91,61,PSG_1060020,Strong Heritage - Private team focussed on Motorsport who have been fighting in WMC for a long time and built up good knowledge and a decent team even with financial struggles. Political view tend to swing based on current financial situation.,0.8
Nordvik Racing Group,Nordvik,Denmark,PSG_10000932,84,27,Traditionalist,Motorsport Giants - Part of a large company and have been around a long time to build up a winning team and budget. More traditional thinking.,32,3,3,0.65,5,6,40,1,0,1,1,4,64,100,48,PSG_1060021,Motorsport Giants - Part of a large company and have been around a long time to build up a winning team and budget. More traditional thinking.,0.1
Orange Energy Turismo Group,Orange Energy,India,PSG_10000960,85,27,Progressive,Strong Heritage - Private team focussed on Motorsport who have been fighting in WMC for a long time and built up good knowledge and a decent team even with financial struggles. Political view tend to swing based on current financial situation.,37,2,1.25,0.7,3,1.3,8,4,1,3,3,6,4,89,84,PSG_1060022,Strong Heritage - Private team focussed on Motorsport who have been fighting in WMC for a long time and built up good knowledge and a decent team even with financial struggles. Political view tend to swing based on current financial situation.,0.5
Pacific Formula Team,Pacific,Australia,PSG_10000891,86,33,Egalitarian,"Young Charger - Teams who are newer to the sport and more progressive,but look to have a strong future.",35,2,1,0.65,2,0.6,5,4,2,5,8,11,61,71,91,PSG_1060023,Young Charger - Teams who are newer to the sport and more progressive.but look to have a strong future.,0.1
Paladin Engineering,Paladin,UK,PSG_10001069,87,62,Progressive,"Young Charger - Teams who are newer to the sport and more progressive,but look to have a strong future.",35,2,2,0.6,3,0.4,3,6,3,5,9,14,96,67,43,PSG_1060024,Young Charger - Teams who are newer to the sport and more progressive.but look to have a strong future.,0.6
Pinasco GT,Pinasco,UnitedStates,PSG_10001070,88,5,Gimmicky,Strong Heritage - Private team focussed on Motorsport who have been fighting in WMC for a long time and built up good knowledge and a decent team even with financial struggles. Political view tend to swing based on current financial situation.,33,2,1.5,0.6,2,0.7,2,7,4,6,10,12,42,18,87,PSG_1060025,Strong Heritage - Private team focussed on Motorsport who have been fighting in WMC for a long time and built up good knowledge and a decent team even with financial struggles. Political view tend to swing based on current financial situation.,0.8
Rednergie MRT,Rednergie,Austria,PSG_10000892,89,10,Gimmicky,"Fallen Giant - A team who was once a great WMC but due to varying circumstances (Finances, staff changes, losign drivers) have fallen from the peak of competition or even down into the lower tiers.",41,2,1,0.55,1,1.2,1,8,5,7,10,15,78,58,79,PSG_1060026,Fallen Giant - A team who was once a great WMC but due to varying circumstances (Finances. staff changes. losign drivers) have fallen from the peak of competition or even down into the lower tiers.,0.1
Red Rossiya Team,Red Rossiya,RussianFederation,PSG_10001026,90,32,Egalitarian,Young Team - Small teams who are very new to the sport. A small budget and a struggling team.,40,1,1.85,0.55,1,0.7,1,10,6,10,19,20,54,84,37,PSG_1060027,Young Team - Small teams who are very new to the sport. A small budget and a struggling team.,0.5
Rodney International Racing,Rodney,UnitedStates,PSG_10001070,91,6,Traditionalist,"Young Charger - Teams who are newer to the sport and more progressive,but look to have a strong future.",43,3,0.75,0.6,3,1.9,21,0,7,1,1,2,50,10,26,PSG_1060028,Young Charger - Teams who are newer to the sport and more progressive.but look to have a strong future.,0.8
Rogendaal GT Team,Rogendaal,Netherlands,PSG_10001007,92,63,Progressive,"Young Charger - Teams who are newer to the sport and more progressive,but look to have a strong future.",42,3,-2,0.6,3,1.6,18,1,8,2,3,6,27,64,46,PSG_1060029,Young Charger - Teams who are newer to the sport and more progressive.but look to have a strong future.,0.8
Stanley Racing Team,Stanley,Australia,PSG_10000891,93,1,Progressive,Strong Heritage - Private team focussed on Motorsport who have been fighting in WMC for a long time and built up good knowledge and a decent team even with financial struggles. Political view tend to swing based on current financial situation.,42,3,0.6,0.55,2,0.8,10,10,9,2,2,7,85,62,28,PSG_1060030,Strong Heritage - Private team focussed on Motorsport who have been fighting in WMC for a long time and built up good knowledge and a decent team even with financial struggles. Political view tend to swing based on current financial situation.,0.2
Storleich Racing Team,Storleich,Switzerland,PSG_10001054,94,48,Egalitarian,"Young Charger - Teams who are newer to the sport and more progressive,but look to have a strong future.",43,3,0.5,0.45,1,0.7,13,0,10,1,1,4,71,68,77,PSG_1060031,Young Charger - Teams who are newer to the sport and more progressive.but look to have a strong future.,0.6
